upazila_code,type,param,area,percent,len
309325,cwz,T4,1375926,100,70-90 days
309325,hsz,E2,1375926,100,0.5-5 days
309328,pktp,P4,4293352,94.79,40-50 days
309328,pktp,P5,235814,5.21,50-60 days
309328,krgp,K5,2511789,55.46,210-220/120-140 days
309328,krgp,K6,2017377,44.54,220-230/120-145 days
309328,cwz,T4,4529166,100,70-90 days
309328,hsz,E2,1394988,30.8,0.5-5 days
309328,hsz,E1,3134177,69.2,less than 0.5 days
309338,pktp,P4,2412196,99.94,40-50 days
309338,pktp,P5,1389,0.06,50-60 days
309338,krgp,K5,2413585,100,210-220/120-140 days
309338,cwz,T4,2413585,100,70-90 days
309338,hsz,E2,2413585,100,0.5-5 days
309347,pktp,P4,1393198,36.55,40-50 days
309347,pktp,P5,2418643,63.45,50-60 days
309347,krgp,K5,2838771,74.47,210-220/120-140 days
309347,krgp,K6,49482,1.3,220-230/120-145 days
309347,krgp,K4,923588,24.23,200-210/115-135 days
309347,cwz,T4,3811841,100,70-90 days
309347,hsz,E2,571603,15,0.5-5 days
309347,hsz,E1,3240238,85,less than 0.5 days
309376,pktp,P4,637782,24.6,40-50 days
309376,pktp,P5,1954658,75.4,50-60 days
309376,krgp,K5,2181099,84.13,210-220/120-140 days
309376,krgp,K4,411340,15.87,200-210/115-135 days
309376,cwz,T4,2576125,99.37,70-90 days
309376,cwz,T3,16314,0.63,50-70 days
309376,hsz,E2,2093972,80.77,0.5-5 days
309376,hsz,E1,498467,19.23,less than 0.5 days
309366,pktp,P4,3626850,98.91,40-50 days
309366,pktp,P5,39998,1.09,50-60 days
309366,krgp,K5,1941951,52.96,210-220/120-140 days
309366,krgp,K6,1724897,47.04,220-230/120-145 days
309366,cwz,T4,2566003,69.98,70-90 days
309366,cwz,T3,1100845,30.02,50-70 days
309366,hsz,E2,68519,1.87,0.5-5 days
309366,hsz,E1,3598329,98.13,less than 0.5 days
309357,pktp,P4,3755795,100,40-50 days
309357,krgp,K5,1599102,42.58,210-220/120-140 days
309357,krgp,K6,2156693,57.42,220-230/120-145 days
309357,cwz,T4,3755795,100,70-90 days
309357,hsz,E2,1966321,52.35,0.5-5 days
309357,hsz,E1,1789474,47.65,less than 0.5 days
309395,pktp,P5,3854886,100,50-60 days
309395,krgp,K5,369927,9.6,210-220/120-140 days
309395,krgp,K4,3484959,90.4,200-210/115-135 days
309395,cwz,T4,3854886,100,70-90 days
309395,hsz,E2,252791,6.56,0.5-5 days
309395,hsz,E1,3602095,93.44,less than 0.5 days
400114,pktp,P4,148476,7.74,40-50 days
400114,pktp,P5,1770282,92.26,50-60 days
400114,krgp,K5,1814203,94.55,210-220/120-140 days
400114,krgp,K4,104555,5.45,200-210/115-135 days
400114,cwz,T3,1918758,100,50-70 days
400114,hsz,E1,1918758,100,less than 0.5 days
309385,pktp,P4,5610807,100,40-50 days
309385,krgp,K5,1083345,19.31,210-220/120-140 days
309385,krgp,K6,4527462,80.69,220-230/120-145 days
309385,cwz,T4,5463892,97.38,70-90 days
309385,cwz,T3,146915,2.62,50-70 days
309385,hsz,E1,5610807,100,less than 0.5 days
400108,pktp,P5,3104783,100,50-60 days
400108,krgp,K5,30481,0.98,210-220/120-140 days
400108,krgp,K4,3074302,99.02,200-210/115-135 days
400108,cwz,T3,3104783,100,50-70 days
400108,hsz,E1,3104783,100,less than 0.5 days
400134,pktp,P5,1585040,100,50-60 days
400134,krgp,K4,1585040,100,200-210/115-135 days
400134,cwz,T3,1585040,100,50-70 days
400134,hsz,E1,1585040,100,less than 0.5 days
400138,pktp,P5,1224334,100,50-60 days
400138,krgp,K5,594368,48.55,210-220/120-140 days
400138,krgp,K4,629966,51.45,200-210/115-135 days
400138,cwz,T3,1224334,100,50-70 days
400138,hsz,E1,1224334,100,less than 0.5 days
400156,pktp,P5,1765527,100,50-60 days
400156,krgp,K5,1444698,81.83,210-220/120-140 days
400156,krgp,K4,320829,18.17,200-210/115-135 days
400156,cwz,T3,1765527,100,50-70 days
400156,hsz,E2,30146,1.71,0.5-5 days
400156,hsz,E1,1735381,98.29,less than 0.5 days
400177,pktp,P4,193109,1.68,40-50 days
400177,pktp,P5,11277838,98.32,50-60 days
400177,krgp,K5,7332419,63.92,210-220/120-140 days
400177,krgp,K4,4138528,36.08,200-210/115-135 days
400177,cwz,T3,11470947,100,50-70 days
400177,hsz,E1,11470947,100,less than 0.5 days
400173,pktp,P5,2655262,100,50-60 days
400173,krgp,K4,2655262,100,200-210/115-135 days
400173,cwz,T3,2655262,100,50-70 days
400173,hsz,E2,83679,3.15,0.5-5 days
400173,hsz,E1,2571583,96.85,less than 0.5 days
400160,pktp,P5,4158037,100,50-60 days
400160,krgp,K5,474471,11.41,210-220/120-140 days
400160,krgp,K4,3683566,88.59,200-210/115-135 days
400160,cwz,T3,4158037,100,50-70 days
400160,hsz,E1,4158037,100,less than 0.5 days
401807,pktp,P5,3579324,100,50-60 days
401807,krgp,K5,3245876,90.68,210-220/120-140 days
401807,krgp,K4,333448,9.32,200-210/115-135 days
401807,cwz,T4,3579324,100,70-90 days
401807,hsz,E2,3579324,100,0.5-5 days
400158,pktp,P5,12003766,100,50-60 days
400158,krgp,K5,997314,8.31,210-220/120-140 days
400158,krgp,K4,11006452,91.69,200-210/115-135 days
400158,cwz,T2,154761,1.29,40-50 days
400158,cwz,T3,11849005,98.71,50-70 days
400158,hsz,E1,12003766,100,less than 0.5 days
401823,pktp,P5,3739682,100,50-60 days
401823,krgp,K5,1916996,51.26,210-220/120-140 days
401823,krgp,K4,1822686,48.74,200-210/115-135 days
401823,cwz,T4,3739682,100,70-90 days
401823,hsz,E2,3739682,100,0.5-5 days
401831,pktp,P5,3805403,100,50-60 days
401831,krgp,K4,3805403,100,200-210/115-135 days
401831,cwz,T4,3805403,100,70-90 days
401831,hsz,E2,3805403,100,0.5-5 days
401855,pktp,P6,322463,16.58,60-70 days
401855,pktp,P5,1622449,83.42,50-60 days
401855,krgp,K4,1944912,100,200-210/115-135 days
401855,cwz,T4,1944912,100,70-90 days
401855,hsz,E2,1944912,100,0.5-5 days
404104,pktp,P5,2435518,100,50-60 days
404104,krgp,K4,2435518,100,200-210/115-135 days
404104,cwz,T4,481113,19.75,70-90 days
404104,cwz,T3,1954405,80.25,50-70 days
404104,hsz,E2,2435518,100,0.5-5 days
404109,pktp,P5,2752624,100,50-60 days
404109,krgp,K5,2272945,82.57,210-220/120-140 days
404109,krgp,K4,479679,17.43,200-210/115-135 days
404109,cwz,T4,2752624,100,70-90 days
404109,hsz,E2,2752624,100,0.5-5 days
404147,pktp,P6,1406154,32.25,60-70 days
404147,pktp,P5,2953439,67.75,50-60 days
404147,krgp,K5,210739,4.83,210-220/120-140 days
404147,krgp,K4,4148854,95.17,200-210/115-135 days
404147,cwz,T4,4359593,100,70-90 days
404147,hsz,E2,4359593,100,0.5-5 days
404123,pktp,P6,3067353,100,60-70 days
404123,krgp,K4,3067353,100,200-210/115-135 days
404123,cwz,T4,2930353,95.53,70-90 days
404123,cwz,T3,137000,4.47,50-70 days
404123,hsz,E2,3067353,100,0.5-5 days
404111,pktp,P6,2363316,86.73,60-70 days
404111,pktp,P5,361524,13.27,50-60 days
404111,krgp,K4,2724841,100,200-210/115-135 days
404111,cwz,T4,2724841,100,70-90 days
404111,hsz,E2,2724841,100,0.5-5 days
404138,pktp,P6,2086961,82.51,60-70 days
404138,pktp,P5,442412,17.49,50-60 days
404138,krgp,K4,2529373,100,200-210/115-135 days
404138,cwz,T3,2529373,100,50-70 days
404138,hsz,E2,2529373,100,0.5-5 days
404161,pktp,P6,4145504,72.68,60-70 days
404161,pktp,P5,1558454,27.32,50-60 days
404161,krgp,K4,5703958,100,200-210/115-135 days
404161,cwz,T4,4133001,72.46,70-90 days
404161,cwz,T3,1570958,27.54,50-70 days
404161,hsz,E2,5703958,100,0.5-5 days
404414,pktp,P5,2254168,100,50-60 days
404414,krgp,K5,2254168,100,210-220/120-140 days
404414,cwz,T4,2254168,100,70-90 days
404414,hsz,E2,2254168,100,0.5-5 days
404190,pktp,P6,3349141,100,60-70 days
404190,krgp,K4,3349141,100,200-210/115-135 days
404190,cwz,T4,2921600,87.23,70-90 days
404190,cwz,T3,427541,12.77,50-70 days
404190,hsz,E2,3349141,100,0.5-5 days
404442,pktp,P5,1694142,100,50-60 days
404442,krgp,K5,778656,45.96,210-220/120-140 days
404442,krgp,K4,915487,54.04,200-210/115-135 days
404442,cwz,T4,1694142,100,70-90 days
404442,hsz,E2,1694142,100,0.5-5 days
404419,pktp,P5,5915202,100,50-60 days
404419,krgp,K5,5915202,100,210-220/120-140 days
404419,cwz,T4,5915202,100,70-90 days
404419,hsz,E2,5915202,100,0.5-5 days
404433,pktp,P6,12059,0.31,60-70 days
404433,pktp,P5,3903259,99.69,50-60 days
404433,krgp,K5,2630537,67.19,210-220/120-140 days
404433,krgp,K4,1284781,32.81,200-210/115-135 days
404433,cwz,T4,3915318,100,70-90 days
404433,hsz,E2,3915318,100,0.5-5 days
404471,pktp,P6,4245921,87.93,60-70 days
404471,pktp,P5,582916,12.07,50-60 days
404471,krgp,K4,4828837,100,200-210/115-135 days
404471,cwz,T4,4828837,100,70-90 days
404471,hsz,E2,4828837,100,0.5-5 days
404480,pktp,P4,381893,7.96,40-50 days
404480,pktp,P5,4414723,92.04,50-60 days
404480,krgp,K5,4796617,100,210-220/120-140 days
404480,cwz,T4,4796617,100,70-90 days
404480,hsz,E2,4796617,100,0.5-5 days
404712,pktp,P5,2375048,100,50-60 days
404712,krgp,K4,2375048,100,200-210/115-135 days
404712,cwz,T3,2375048,100,50-70 days
