upazila_code,type,category,area,ord
100921,reaction,Moderately Alkaline,1676.63,5
100921,moisture,Medium,4881.03,2
100921,moisture,High,6104.38,3
100921,salinity,Non Saline,335.02,1
100921,salinity,Very Slightly Saline,233.77,2
100921,salinity,Slightly Saline,4523.09,3
100921,salinity,Moderately Saline,3951.55,4
100921,salinity,Strongly Saline,1941.98,5
100921,recession,Very Early,780.09,1
100921,recession,Early,5991.82,2
100921,recession,Normal,2536.87,3
100921,recession,Late,1676.63,4
100921,relief,Level,10985.41,
100925,landtype,Medium High Land-1,24998.13,
100925,landtype,Medium High Land-2,11903.26,
100925,landtype,Medium Low Land,2599.7,
100925,texture,Loam,29846.47,3
100925,texture,Clay Loam,9654.63,4
100925,consistency,Friable,29846.47,2
100925,consistency,Firm,9654.63,3
100925,drainage,Poorly Drained,39501.1,4
100925,reaction,Moderately Acidic,9243.48,3
100925,reaction,Neutral,30257.61,4
100925,moisture,Medium,13873.3,2
100925,moisture,High,25627.8,3
100925,salinity,Slightly Saline,25038.69,3
100925,salinity,Moderately Saline,11952.83,4
100925,salinity,Strongly Saline,1467.47,5
100925,salinity,Extremely Saline,1042.1,6
100925,recession,Early,24064.57,2
100925,recession,Normal,10837.29,3
100925,recession,Late,4599.24,4
100925,relief,Level,39501.1,
100954,landtype,High Land,1387.82,
100954,landtype,Medium High Land-1,7951.03,
100954,landtype,Medium High Land-2,7892.72,
100954,landtype,Medium Low Land,1492.84,
100954,texture,Loam,12231.39,3
100954,texture,Clay Loam,6493.02,4
100954,consistency,Friable,12231.39,2
100954,consistency,Firm,6493.02,3
100954,drainage,Imperfectly Drained,1387.82,3
100954,drainage,Poorly Drained,17336.59,4
100954,reaction,Moderately Acidic,2947.95,3
100954,reaction,Neutral,11885.78,4
100954,reaction,Moderately Alkaline,3890.69,5
100954,moisture,Medium,7985.86,2
100954,moisture,High,10738.55,3
100954,salinity,Non Saline,8191.71,1
100954,salinity,Very Slightly Saline,7990.52,2
100954,salinity,Slightly Saline,2542.18,3
100954,recession,Very Early,1387.82,1
100954,recession,Early,9350.73,2
100954,recession,Normal,6493.02,3
100954,recession,Late,1492.84,4
100954,relief,Level,18724.41,
100991,landtype,Medium High Land-1,7327,
100991,landtype,Medium High Land-2,5205.11,
100991,landtype,Medium Low Land,2456.95,
100991,texture,Loam,13358.14,3
100991,texture,Clay Loam,1630.92,4
100991,consistency,Friable,13358.14,2
100991,consistency,Firm,1630.92,3
100991,drainage,Imperfectly Drained,26.1,3
100991,drainage,Poorly Drained,14962.95,4
100991,reaction,Moderately Acidic,5348.4,3
100991,reaction,Neutral,310.2,4
100991,reaction,Moderately Alkaline,9320.65,5
100991,reaction,Strongly Alkaline,9.8,6
100991,moisture,Medium,1630.92,2
100991,moisture,High,13358.14,3
100991,salinity,Non Saline,236.61,1
100991,salinity,Very Slightly Saline,3832.93,2
100991,salinity,Slightly Saline,4275.75,3
100991,salinity,Moderately Saline,6643.76,4
100991,recession,Early,4257.43,2
100991,recession,Normal,8284.49,3
100991,recession,Late,2447.14,4
100991,relief,Level,14989.06,
104240,landtype,High Land,467.48,
104240,landtype,Medium High Land-1,4436.64,
104240,landtype,Medium High Land-2,5733.15,
104240,landtype,Medium Low Land,410.71,
104240,texture,Loam,1252.61,3
104240,texture,Clay Loam,5980.87,4
104240,texture,Clay,3814.49,5
104240,consistency,Friable,1322.91,2
104240,consistency,Firm,9725.07,3
104240,drainage,Imperfectly Drained,361.32,3
104240,drainage,Poorly Drained,10686.66,4
104240,reaction,Strongly Acidic,324.82,2
104240,reaction,Moderately Acidic,2532.62,3
104240,reaction,Neutral,6161.4,4
104240,reaction,Moderately Alkaline,2029.14,5
104240,moisture,Low,3854.49,1
104240,moisture,Medium,5916.08,2
104240,moisture,High,1277.41,3
104240,salinity,Non Saline,10647.09,1
104240,salinity,Very Slightly Saline,324.82,2
104240,salinity,Slightly Saline,76.06,3
104240,recession,Very Early,467.48,1
104240,recession,Early,1209.8,2
104240,recession,Normal,8774.73,3
104240,recession,Late,446.94,4
104240,recession,Very Late,149.02,5
104240,relief,Level,11006.63,
104240,relief,Slightly Undulating,41.35,
100918,landtype,High Land,110.38,
100918,landtype,Medium High Land-1,5627.95,
100918,landtype,Medium High Land-2,6696.33,
100918,landtype,Medium Low Land,2256.86,
100918,texture,Loam,10487.96,3
100918,texture,Clay Loam,4203.57,4
100918,consistency,Friable,10487.96,2
100918,consistency,Firm,4203.57,3
100918,drainage,Imperfectly Drained,110.38,3
100918,drainage,Poorly Drained,14581.15,4
100918,reaction,Moderately Acidic,11226.32,3
100918,reaction,Neutral,3465.21,4
100918,moisture,Medium,4159.8,2
100918,moisture,High,10531.73,3
100918,salinity,Non Saline,8191.23,1
100918,salinity,Very Slightly Saline,5418.26,2
100918,salinity,Slightly Saline,1082.04,3
100918,recession,Very Early,110.38,1
100918,recession,Early,12324.28,2
100918,recession,Normal,2256.86,3
100918,relief,Level,14691.53,
107855,landtype,High Land,55.73,
107855,landtype,Medium High Land-1,1215.5,
107855,landtype,Medium High Land-2,5710.81,
107855,texture,Loam,1432.13,3
107855,texture,Clay Loam,3753.84,4
107855,texture,Clay,1796.06,5
107855,consistency,Friable,1432.13,2
107855,consistency,Firm,5549.91,3
107855,drainage,Imperfectly Drained,55.73,3
107855,drainage,Poorly Drained,6926.3,4
107855,reaction,Strongly Acidic,4961.28,2
107855,reaction,Neutral,1415.17,4
107855,reaction,Moderately Alkaline,605.59,5
107855,moisture,Low,1796.06,1
107855,moisture,Medium,4154.12,2
107855,moisture,High,1031.85,3
107855,salinity,Non Saline,6211.23,1
107855,salinity,Very Slightly Saline,770.81,2
107855,recession,Very Early,55.73,1
107855,recession,Early,2662.13,2
107855,recession,Normal,3044.47,3
107855,recession,Late,1219.7,4
107855,relief,Level,6982.04,
104243,landtype,Medium High Land-1,2521.18,
104243,landtype,Medium High Land-2,7583.85,
104243,texture,Loam,507.48,3
104243,texture,Clay Loam,6695,4
104243,texture,Clay,2902.54,5
104243,consistency,Friable,507.48,2
104243,consistency,Firm,9597.54,3
104243,drainage,Poorly Drained,10105.02,4
104243,reaction,Strongly Acidic,2938.22,2
104243,reaction,Moderately Acidic,2925.09,3
104243,reaction,Neutral,3734.23,4
104243,reaction,Moderately Alkaline,507.48,5
104243,moisture,Low,2902.54,1
104243,moisture,Medium,6695,2
104243,moisture,High,507.48,3
104243,salinity,Non Saline,2460.88,1
104243,salinity,Very Slightly Saline,7238.02,2
104243,salinity,Slightly Saline,406.12,3
104243,recession,Early,1034.4,2
104243,recession,Normal,7610.34,3
104243,recession,Late,1460.29,4
104243,relief,Level,10105.02,
107852,landtype,Medium High Land-1,3475.3,
107852,landtype,Medium High Land-2,11477.43,
107852,landtype,Medium Low Land,1906.85,
107852,texture,Loam,7252.56,3
107852,texture,Clay Loam,8884.68,4
107852,texture,Clay,722.34,5
107852,consistency,Friable,7252.56,2
107852,consistency,Firm,9607.02,3
107852,drainage,Poorly Drained,16859.58,4
107852,reaction,Strongly Acidic,10460.6,2
107852,reaction,Moderately Acidic,3139.79,3
107852,reaction,Neutral,439.41,4
107852,reaction,Moderately Alkaline,2819.78,5
107852,moisture,Low,722.34,1
107852,moisture,Medium,10791.53,2
107852,moisture,High,5345.71,3
107852,salinity,Non Saline,11079.53,1
107852,salinity,Very Slightly Saline,5780.05,2
107852,recession,Early,4354.65,2
107852,recession,Normal,10598.08,3
107852,recession,Late,1906.85,4
107852,relief,Level,16859.58,
104273,landtype,Medium High Land-1,8318.09,
104273,landtype,Medium High Land-2,5505.73,
104273,texture,Loam,3704.7,3
104273,texture,Clay Loam,9525.35,4
104273,texture,Clay,593.78,5
104273,consistency,Friable,3704.7,2
104273,consistency,Firm,10119.13,3
104273,drainage,Poorly Drained,13823.83,4
